"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4","4","1n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C5, C6","2","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","C7","1","1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"4","J1, J2, J3, J4","4","-5v to 5v in","PCM_4ms_Jack:EighthInch_PJ398SM_with_hole",""
"5","J5","1","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"6","R1, R5, R8, R11","4","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"7","R2, R4, R7, R10","4","200k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"8","R3, R6, R9, R12","4","33k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"9","R13","1","2.2k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"10","U1","1","MCP6004","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"11","U2","1","LM4040C10IDBZR","Package_TO_SOT_SMD:SOT-23-3",""
